Year,Question,Primary,AllSections,Reason,PNG,AnswerPNG
2012,1,3,3;2,"keywords: latent heat, vaporization, steam; dual with S2 (significant earlier part)",output/lq/2012/q1.png,output/lq/2012/ans/q1.png
2012,2,4,4,keywords: kinetic theory,output/lq/2012/q2.png,output/lq/2012/ans/q2.png
2012,3,11,11,keywords: centripetal,output/lq/2012/q3.png,output/lq/2012/ans/q3.png
2012,4,9,9,keywords: collision,output/lq/2012/q4.png,output/lq/2012/ans/q4.png
2012,5,10,10,"keywords: projectile; primary=max(S6,S10)",output/lq/2012/q5.png,output/lq/2012/ans/q5.png
2012,6,14,14,"keywords: ripple tank; primary=max(S7,S13,S14)",output/lq/2012/q6.png,output/lq/2012/ans/q6.png
2012,7,19,19,"keywords: lens, focal length, convex lens, magnification",output/lq/2012/q7.png,output/lq/2012/ans/q7.png
2012,8,22,22,"keywords: mains, a.c.; primary=max(S21,S22)",output/lq/2012/q8.png,output/lq/2012/ans/q8.png
2012,9,24,24;22,keywords: transformer; dual with S22 (significant earlier part),output/lq/2012/q9.png,output/lq/2012/ans/q9.png
2012,10,23,23,keywords: magnetic field,output/lq/2012/q10.png,output/lq/2012/ans/q10.png
2012,11,27,27,"keywords: energy released in the decay, energy released, nuclear equation, mev",output/lq/2012/q11.png,output/lq/2012/ans/q11.png
2013,1,2,2,"keywords: specific heat, heat capacity",output/lq/2013/q1.png,output/lq/2013/ans/q1.png
2013,2,1,1,keywords: thermometer,output/lq/2013/q2.png,output/lq/2013/ans/q2.png
2013,3,21,21,"keywords: resistance; primary=max(S6,S21)",output/lq/2013/q3.png,output/lq/2013/ans/q3.png
2013,4,23,23,keywords: magnetic field,output/lq/2013/q4.png,output/lq/2013/ans/q4.png
2013,5,8,8,"keywords: stopping distance, height of release",output/lq/2013/q5.png,output/lq/2013/ans/q5.png
2013,6,26,26,"keywords: activity; primary=max(S21,S26)",output/lq/2013/q6.png,output/lq/2013/ans/q6.png
2013,7,15,15,"keywords: interference; primary=max(S13,S15)",output/lq/2013/q7.png,output/lq/2013/ans/q7.png
2013,8,19,19,keywords: lens,output/lq/2013/q8.png,
2013,9,26,26,"keywords: half-life, activity, decay constant",output/lq/2013/q9.png,
2013,10,21,21,"keywords: resistance, circuit",output/lq/2013/q10.png,output/lq/2013/ans/q10.png
2013,11,20,20,keywords: point charge,output/lq/2013/q11.png,
2014,1,2,2,"keywords: specific heat, heat capacity",output/lq/2014/q1.png,output/lq/2014/ans/q1.png
2014,2,7,7,keywords: equilibrium,output/lq/2014/q2.png,output/lq/2014/ans/q2.png
2014,3,5,5,keywords: score-based,output/lq/2014/q3.png,output/lq/2014/ans/q3.png
2014,4,6,6,keywords: tension,output/lq/2014/q4.png,output/lq/2014/ans/q4.png
2014,5,18,18,keywords: refractive index,output/lq/2014/q5.png,output/lq/2014/ans/q5.png
2014,6,19,19,keywords: lens,output/lq/2014/q6.png,output/lq/2014/ans/q6.png
2014,7,14,14,keywords: diffraction,output/lq/2014/q7.png,output/lq/2014/ans/q7.png
2014,8,22,22,"keywords: mains, a.c.",output/lq/2014/q8.png,output/lq/2014/ans/q8.png
2014,9,24,24,"keywords: induction, lenz",output/lq/2014/q9.png,output/lq/2014/ans/q9.png
2014,10,26,26,"keywords: half-life, activity",output/lq/2014/q10.png,output/lq/2014/ans/q10.png
2015,1,3,3,"keywords: boiling, melting, steam",output/lq/2015/q1.png,
2015,2,4,4,fallback: gas cues,output/lq/2015/q2.png,output/lq/2015/ans/q2.png
2015,3,21,21,keywords: resistance,output/lq/2015/q3.png,output/lq/2015/ans/q3.png
2015,4,5,5,keywords: velocity-time,output/lq/2015/q4.png,output/lq/2015/ans/q4.png
