Year,Question,PrimarySection,PrimaryName,PrimaryBook,AllSections,AllSectionNames,Reason,PNG,AnswerPNG,CandidatePerformance
2012,1,3,Change of State,Heat and Gases,3;2,Change of State; Heat Capacity,"keywords: latent heat, vaporization, steam; dual with S2 (significant earlier part)",output/lq/2012/q1.png,output/lq/2012/ans/q1.png,"Parts (a) and (c) were well answered but only the more able candidates managed to answer part (b). In (a), some candidates wrongly used 4200 J kg⁻¹ °C⁻¹ for the specific heat capacity of steam. In (b), many candidates failed to take into account the energy released by water from 100°C to temperature T in their calculation."
2012,2,4,Gas Law and Kinetic Theory,Heat and Gases,4,Gas Law and Kinetic Theory,keywords: kinetic theory,output/lq/2012/q2.png,output/lq/2012/ans/q2.png,"Satisfactory. In (a), most candidates were able to apply Boyle's law but some of them did not know the relation between the bubble's volume and its radius or the formulae for calculating a spherical volume. In (b), few candidates stated the constant average speed (kinetic energy) of gas molecules and realised the gas pressure caused by collisions of gas molecules on a surface."
2012,3,11,Uniform Circular Motion,Force and Motion,11,Uniform Circular Motion,keywords: centripetal,output/lq/2012/q3.png,output/lq/2012/ans/q3.png,"Most candidates answered part (a) correctly. In (a)(ii), many candidates made the correct choice while a few concluded this from exact explanation v² ∝ r. In (b), some candidates misunderstood that the centripetal force remained constant while the friction became smaller. Only a few pointed out that the reduced friction was not enough to provide the centripetal force required to keep the car moving in the circular lane."
2012,4,9,Momentum,Force and Motion,9,Momentum,keywords: collision,output/lq/2012/q4.png,output/lq/2012/ans/q4.png,"Satisfactory. Part (a)(i) was well answered. In (a)(ii)(iii), some candidates failed to sketch the variation of the speed of Train A correctly and therefore they were unable to determine the two trains' separation using the area under the graph. Candidates' performance in (b) was fair. In (b)(i), many candidates did not apply the principle of conservation of momentum correctly in the situation concerned. In (b)(ii), only the more able ones identified the correct velocities to be used in finding the rate of change of momentum of Train A."
2012,5,10,Projectile Motion,Force and Motion,10,Projectile Motion,"keywords: projectile; primary=max(S6,S10)",output/lq/2012/q5.png,output/lq/2012/ans/q5.png,"Parts (a) and (b)(i) were well answered but candidates' performance in (b)(ii) was poor. In (a)(i), some candidates had difficulties in working out a correct equation relating the horizontal component of the tension of the string to the force exerted by the hunter (60 N). Weaker candidates did not know that the tension could be found by the resolution of forces. In (a)(ii), some candidates did not give the correct unit for energy. In (b)(ii), only the more able candidates found the height of the coconut from the ground at the moment the arrow hit it by considering the coconut's vertical motion. The majority of candidates considered the motion of the arrow and worked out only the height of the coconut/arrow above the position where the arrow left the hunter's hand."
2012,6,14,"Reflection, Refraction and Diffraction",Wave Motion,14,"Reflection, Refraction and Diffraction","keywords: ripple tank; primary=max(S7,S13,S14)",output/lq/2012/q6.png,output/lq/2012/ans/q6.png,"Part (a) was poorly answered. Not many candidates identified the correct positions of the anti-nodal line L₁ and nodal line L₂ by drawing a smooth curve through the points for each line. Many candidates wrongly drew straight lines for L₁ and L₂. Only the more able ones correctly pointed out that the separation between L₁ and L₂ would increase when S₁S₂ was reduced slightly in separation. Candidates' performance in (b) and (c) was satisfactory. Many failed to give the correct path difference at Q. In (d), the majority of candidates were able to obtain the numerical answer using the equation Δy = λD/a but some mixed up the meaning of Δy (fringe separation) and a (slit separation)."
2012,7,19,Lenses,Ray Optics,19,Lenses,"keywords: lens, focal length, convex lens, magnification",output/lq/2012/q7.png,output/lq/2012/ans/q7.png,"Parts (a) and (b) were well answered. In (a)(i), many candidates wrongly drew the image and light ray in dotted lines. Some wrongly spelled the word 'diminished'. In (a)(ii), the light ray r was often drawn wrongly after passing through the lens so that it reached the head of the image instead of the tail. In (b)(ii), many candidates failed to explain why the image was dimmer. They failed to point out the difference in brightness of the images in terms of the light energy per unit area. Few understood that a constant amount of light for different sizes of image yields different brightness levels. Some of them wrongly thought that a magnified image was equivalent to a brighter one."
2012,8,22,AC and Domestic Electricity,Electricity and Magnetism,22,AC and Domestic Electricity,"keywords: mains, a.c.; primary=max(S21,S22)",output/lq/2012/q8.png,output/lq/2012/ans/q8.png,"Candidates' performance in parts (a) and (b) was fair. In (b), many candidates wrongly substituted 550W as the power consumed in the calculation and got a wrong answer – 88 Ω. Some of them did not understand the concept of greater power consumption when two resistors are connected in parallel. In (c), a few candidates did not read the question carefully and calculated the resistance of R₂ only."
2012,9,24,Electromagnetic Induction,Electricity and Magnetism,24;22,Electromagnetic Induction; AC and Domestic Electricity,keywords: transformer; dual with S22 (significant earlier part),output/lq/2012/q9.png,output/lq/2012/ans/q9.png,"Poor. In (a), most candidates failed to point out that water can provide a conducting path or lower the resistance for an electric current. In (b), only a few candidates correctly explained why the human body would not get an electric shock if one of the conducting wires in the shaver circuit was touched. Most of them wrongly reasoned that the conducting wires were isolated from the high voltage. Some candidates did not understand the action of transformers and wrongly thought that current went to the earth in the primary coil because of low resistance."
2012,10,23,Electromagnetism,Electricity and Magnetism,23,Electromagnetism,keywords: magnetic field,output/lq/2012/q10.png,output/lq/2012/ans/q10.png,Unsatisfactory. Many candidates failed to draw a clear diagram to show the experimental setup. Some of them used apparatus other than that provided in the question. They also suggested stronger magnets or increasing the length of the magnet as factors affecting e.m.f. induced. Not many were able to express their answers in an organised manner. Some overlooked the fact that the conducting wire could use as a conductor. Some candidates mistook the light-beam galvanometer as a power supply. They wrongly thought that the galvanometer could function as a CRO. Many candidates did not state the expected result or observation of the factors affecting the e.m.f..
